"Location","Name","Frequency","Duplex","Offset","Tone","rToneFreq","cToneFreq","DtcsCode","DtcsPolarity","RxDtcsCode","CrossMode","Mode","TStep","Skip","Power","Comment","URCALL","RPT1CALL","RPT2CALL","DVCODE"
101,"ATIS",122.1625,,0,,88.5,88.5,23,"NN",23,"Tone->Tone","AM",0,,"0.5W",,,,,
102,"VOLMS",125.525,,0,,88.5,88.5,23,"NN",23,"Tone->Tone","AM",0,,"0.5W",,,,,
103,"VOLME",128.6,,0,,88.5,88.5,23,"NN",23,"Tone->Tone","AM",0,,"0.5W",,,,,
111,"APRON",121.71,,0,,88.5,88.5,23,"NN",23,"Tone->Tone","AM",0,,"0.5W",,,,,
112,"DELIV",120.0625,,0,,88.5,88.5,23,"NN",23,"Tone->Tone","AM",0,,"0.5W",,,,,
113,"GROUND",121.9125,,0,,88.5,88.5,23,"NN",23,"Tone->Tone","AM",0,,"0.5W",,,,,
114,"HAND",131.45,,0,,88.5,88.5,23,"NN",23,"Tone->Tone","AM",0,,"0.5W",,,,,
115,"TOWER",134.5625,,0,,88.5,88.5,23,"NN",23,"Tone->Tone","AM",0,,"0.5W",,,,,
116,"CTR",118.3125,,0,,88.5,88.5,23,"NN",23,"Tone->Tone","AM",0,,"0.5W",,,,,
117,"DIR",119.0125,,0,,88.5,88.5,23,"NN",23,"Tone->Tone","AM",0,,"0.5W",,,,,
118,"DEPART",120.525,,0,,88.5,88.5,23,"NN",23,"Tone->Tone","AM",0,,"0.5W",,,,,
119,"APPR",127.575,,0,,88.5,88.5,23,"NN",23,"Tone->Tone","AM",0,,"0.5W",,,,,
131,"FL125W",118.65,,0,,88.5,88.5,23,"NN",23,"Tone->Tone","AM",0,,"0.5W",,,,,
132,"FL305W",120.275,,0,,88.5,88.5,23,"NN",23,"Tone->Tone","AM",0,,"0.5W",,,,,
133,"FL355W",135.135,,0,,88.5,88.5,23,"NN",23,"Tone->Tone","AM",0,,"0.5W",,,,,
134,"FL375W",132.065,,0,,88.5,88.5,23,"NN",23,"Tone->Tone","AM",0,,"0.5W",,,,,
135,"FL660W",133.53,,0,,88.5,88.5,23,"NN",23,"Tone->Tone","AM",0,,"0.5W",,,,,
136,"FL125S",127.35,,0,,88.5,88.5,23,"NN",23,"Tone->Tone","AM",0,,"0.5W",,,,,
137,"FL305S",127.125,,0,,88.5,88.5,23,"NN",23,"Tone->Tone","AM",0,,"0.5W",,,,,
138,"FL355S",133.41,,0,,88.5,88.5,23,"NN",23,"Tone->Tone","AM",0,,"0.5W",,,,,
139,"FL375S",132.89,,0,,88.5,88.5,23,"NN",23,"Tone->Tone","AM",0,,"0.5W",,,,,
140,"FL660S",134.59,,0,,88.5,88.5,23,"NN",23,"Tone->Tone","AM",0,,"0.5W",,,,,
141,"FL125N",119.375,,0,,88.5,88.5,23,"NN",23,"Tone->Tone","AM",0,,"0.5W",,,,,
142,"FL305N",127.825,,0,,88.5,88.5,23,"NN",23,"Tone->Tone","AM",0,,"0.5W",,,,,
143,"FL355N",128.23,,0,,88.5,88.5,23,"NN",23,"Tone->Tone","AM",0,,"0.5W",,,,,
144,"FL375N",133.39,,0,,88.5,88.5,23,"NN",23,"Tone->Tone","AM",0,,"0.5W",,,,,
145,"FL660N",132.805,,0,,88.5,88.5,23,"NN",23,"Tone->Tone","AM",0,,"0.5W",,,,,
